Season,RoundNumber,RoundName,Date,HomeFlag,Score1,Team1,Score2,Team2
2024,0,weekb1,2024-09-05,team1Home,-1,Kansas City,-1,Baltimore
2024,0,weekb1,2024-09-06,team1Home,-1,Philadelphia,-1,Green Bay
2024,0,weekb1,2024-09-08,team1Home,-1,Atlanta,-1,Pittsburgh
2024,0,weekb1,2024-09-08,team1Home,-1,Chicago,-1,Tennessee
2024,0,weekb1,2024-09-08,team1Home,-1,New Orleans,-1,Carolina
2024,0,weekb1,2024-09-08,team1Home,-1,New York Giants,-1,Minnesota
2024,0,weekb1,2024-09-08,team1Home,-1,Buffalo,-1,Arizona
2024,0,weekb1,2024-09-08,team1Home,-1,Cincinnati,-1,New England
2024,0,weekb1,2024-09-08,team1Home,-1,Indianapolis,-1,Houston
2024,0,weekb1,2024-09-08,team1Home,-1,Miami,-1,Jacksonville
2024,0,weekb1,2024-09-08,team1Home,-1,Seattle,-1,Denver
2024,0,weekb1,2024-09-08,team1Home,-1,Los Angeles Chargers,-1,Las Vegas
2024,0,weekb1,2024-09-08,team1Home,-1,Cleveland,-1,Dallas
2024,0,weekb1,2024-09-08,team1Home,-1,Tampa Bay,-1,Washington
2024,0,weekb1,2024-09-08,team1Home,-1,Detroit,-1,Los Angeles Rams
2024,0,weekb1,2024-09-09,team1Home,-1,San Francisco,-1,New York Jets
2024,1,week02,2024-09-12,team1Home,-1,Miami,-1,Buffalo
2024,1,week02,2024-09-15,team1Home,-1,Detroit,-1,Tampa Bay
2024,1,week02,2024-09-15,team1Home,-1,Dallas,-1,New Orleans
2024,1,week02,2024-09-15,team1Home,-1,Green Bay,-1,Indianapolis
2024,1,week02,2024-09-15,team1Home,-1,Washington,-1,New York Giants
2024,1,week02,2024-09-15,team1Home,-1,New England,-1,Seattle
2024,1,week02,2024-09-15,team1Home,-1,Baltimore,-1,Las Vegas
2024,1,week02,2024-09-15,team1Home,-1,Minnesota,-1,San Francisco
2024,1,week02,2024-09-15,team1Home,-1,Jacksonville,-1,Cleveland
2024,1,week02,2024-09-15,team1Home,-1,Tennessee,-1,New York Jets
2024,1,week02,2024-09-15,team1Home,-1,Carolina,-1,Los Angeles Chargers
2024,1,week02,2024-09-15,team1Home,-1,Arizona,-1,Los Angeles Rams
2024,1,week02,2024-09-15,team1Home,-1,Kansas City,-1,Cincinnati
2024,1,week02,2024-09-15,team1Home,-1,Denver,-1,Pittsburgh
2024,1,week02,2024-09-15,team1Home,-1,Houston,-1,Chicago
2024,1,week02,2024-09-16,team1Home,-1,Philadelphia,-1,Atlanta
